category	sdkRelativePath	size	sha256
header	System/Library/Frameworks/MatterSupport.framework/Headers/MatterSupport.h	136	a3ab664bc30d47b76fbfe1776ff71b9d6750d9cf52f6762c079d0201aa6ad97c
tbd	System/Library/Frameworks/MatterSupport.framework/MatterSupport.tbd	31854	cced11d43b9890dab203c5dabafa8beb3286bd373cfb87b46f1f3443863caada
swiftinterface	System/Library/Frameworks/MatterSupport.framework/Modules/MatterSupport.swiftmodule/arm64e-apple-ios.swiftinterface	13150	244d8aaefb4a6a0d8f742f9ad252524552ff7a143e13d57d9ea55c7e5188314e
modulemap	System/Library/Frameworks/MatterSupport.framework/Modules/module.modulemap	115	c8a1eaabb07e8a45ee5cb804f038b94660395df8d3eb170072b44ca61dd3b2c8
