precise	payloadSHA256	graphPath	ownershipTier	occurrenceCount	canonicalSelection	kind	title	symbolPath	declaration
c:objc(cs)GKAchievement(cm)reportAchievements:withCompletionHandler:	70e4feeff3bb97a124c32de4f69840ad66d4230d063f6ffd39f396f95ed14dfe	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	report(_:withCompletionHandler:)	GKAchievement.report(_:withCompletionHandler:)	class func report(_ achievements: [GKAchievement], withCompletionHandler completionHandler: (((any Error)?) -> Void)? = nil)
c:objc(cs)GKAchievement(cm)reportAchievements:withEligibleChallenges:withCompletionHandler:	c9009724fc2456fe5f9501025645f165c4859cced5adf5af77f76c90ef6c2277	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	report(_:withEligibleChallenges:)	GKAchievement.report(_:withEligibleChallenges:)	class func report(_ achievements: [GKAchievement], withEligibleChallenges challenges: [GKChallenge]) async throws
c:objc(cs)GKAchievement(cm)reportAchievements:withEligibleChallenges:withCompletionHandler:	cad0a38f1d5fac09f55856fd57b82d6e12c4d0f16e9e6a4cc0b3e70a4da8362c	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	report(_:withEligibleChallenges:withCompletionHandler:)	GKAchievement.report(_:withEligibleChallenges:withCompletionHandler:)	class func report(_ achievements: [GKAchievement], withEligibleChallenges challenges: [GKChallenge], withCompletionHandler completionHandler: (((any Error)?) -> Void)? = nil)
c:objc(cs)GKAchievement(cm)resetAchievementsWithCompletionHandler:	7184318b3868227d416cbe3fddbf71c31bfc5b50029c9300cff2aed1cbaf9f23	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	resetAchievements(completionHandler:)	GKAchievement.resetAchievements(completionHandler:)	class func resetAchievements(completionHandler: (((any Error)?) -> Void)? = nil)
c:objc(cs)GKAchievement(cm)resetAchievementsWithCompletionHandler:	aecfba3c662f898e573b324914b6ea83a35870841c65425b04f692419d3d4de8	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	resetAchievements()	GKAchievement.resetAchievements()	class func resetAchievements() async throws
c:objc(cs)GKAchievement(im)selectChallengeablePlayers:withCompletionHandler:	98e4cdca372940581903d31bd16bb08a22e9a978c2f3d7c984023ae538406529	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	selectChallengeablePlayers(_:)	GKAchievement.selectChallengeablePlayers(_:)	func selectChallengeablePlayers(_ players: [GKPlayer]) async throws -> [GKPlayer]
c:objc(cs)GKAchievement(im)selectChallengeablePlayers:withCompletionHandler:	8ffa54a1706318890b1276da8210b13180cfe114b5eddca39e230ae6474c0564	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	selectChallengeablePlayers(_:withCompletionHandler:)	GKAchievement.selectChallengeablePlayers(_:withCompletionHandler:)	func selectChallengeablePlayers(_ players: [GKPlayer], withCompletionHandler completionHandler: (([GKPlayer]?, (any Error)?) -> Void)? = nil)
c:objc(cs)GKAchievementDescription(cm)loadAchievementDescriptionsWithCompletionHandler:	8c12eef4de0275ec6b8932c82f49e818a25363bee1c6268910aa109fd32b874b	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	loadAchievementDescriptions(completionHandler:)	GKAchievementDescription.loadAchievementDescriptions(completionHandler:)	class func loadAchievementDescriptions(completionHandler: (([GKAchievementDescription]?, (any Error)?) -> Void)? = nil)
c:objc(cs)GKAchievementDescription(cm)loadAchievementDescriptionsWithCompletionHandler:	17daeea92eb3a4d27c7f16bcdc2680423d75300bb054ff7e8646a5d6015c505e	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	loadAchievementDescriptions()	GKAchievementDescription.loadAchievementDescriptions()	class func loadAchievementDescriptions() async throws -> [GKAchievementDescription]
c:objc(cs)GKAchievementDescription(im)loadImageWithCompletionHandler:	b7f0da7bdbd8eabb7a8f3368187ebe9028c12b278c38bf49550f2c964f9662e8	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	loadImage(completionHandler:)	GKAchievementDescription.loadImage(completionHandler:)	func loadImage(completionHandler: ((UIImage?, (any Error)?) -> Void)? = nil)
c:objc(cs)GKAchievementDescription(im)loadImageWithCompletionHandler:	662f8252001be4feb184dd74a6265d74a678d0fcaef100745de41fc8a22f83d3	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	loadImage()	GKAchievementDescription.loadImage()	func loadImage() async throws -> UIImage
c:objc(cs)GKChallenge(cm)loadReceivedChallengesWithCompletionHandler:	2d5ba196a53f4fdbff91da148a9444caa737d62aa19d403687c4a782ccfd886a	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	loadReceivedChallenges(completionHandler:)	GKChallenge.loadReceivedChallenges(completionHandler:)	class func loadReceivedChallenges(completionHandler: (([GKChallenge]?, (any Error)?) -> Void)? = nil)
c:objc(cs)GKChallenge(cm)loadReceivedChallengesWithCompletionHandler:	e622a629346a3d4d54f65ba173d55d9a1bf0f09e1793e57db1bf73fa790b4da1	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	loadReceivedChallenges()	GKChallenge.loadReceivedChallenges()	class func loadReceivedChallenges() async throws -> [GKChallenge]
c:objc(cs)GKChallengeDefinition(cm)loadChallengeDefinitionsWithCompletionHandler:	613ceab029c76917b0a837b4f8870f906ed9aac99398c34468eb6ecb0468dace	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	loadChallengeDefinitions(completionHandler:)	GKChallengeDefinition.loadChallengeDefinitions(completionHandler:)	class func loadChallengeDefinitions(completionHandler: @escaping ([GKChallengeDefinition]?, (any Error)?) -> Void)
c:objc(cs)GKChallengeDefinition(cm)loadChallengeDefinitionsWithCompletionHandler:	abbb3662584be78ba800603007fac28671962d28a5903d20e266e0af95085657	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.property	all	GKChallengeDefinition.all	class var all: [GKChallengeDefinition] { get async throws }
c:objc(cs)GKChallengeDefinition(im)hasActiveChallengesWithCompletionHandler:	390cac4fa094222a974281ca9d3fc80f2e457eaa811fea53a7dbc67902932dec	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	hasActiveChallenges(completionHandler:)	GKChallengeDefinition.hasActiveChallenges(completionHandler:)	func hasActiveChallenges(completionHandler: @escaping (Bool, (any Error)?) -> Void)
c:objc(cs)GKChallengeDefinition(im)hasActiveChallengesWithCompletionHandler:	382bfa4ed72e84aaa470f62310d0016b61f4ad13cd910645d5bff288570226eb	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.property	hasActiveChallenges	GKChallengeDefinition.hasActiveChallenges	var hasActiveChallenges: Bool { get async throws }
c:objc(cs)GKChallengeDefinition(im)loadImageWithCompletionHandler:	98f6fdc7af1193ce42a69bed3c7fbe703ee8c0c08b1acbb2c99cf32fe0dd2966	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	loadImage(completionHandler:)	GKChallengeDefinition.loadImage(completionHandler:)	func loadImage(completionHandler: @escaping (UIImage?, (any Error)?) -> Void)
c:objc(cs)GKChallengeDefinition(im)loadImageWithCompletionHandler:	cb934305620a6d06298c3dcb1b2aae7213d9e23113bef17a8c79f6033ae119fd	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.property	image	GKChallengeDefinition.image	var image: UIImage? { get async throws }
c:objc(cs)GKCloudPlayer(cm)getCurrentSignedInPlayerForContainer:completionHandler:	7ac51517d03f48ff6cce5d0d03a677d8adb381a11c49295bfc508b53f14ee4fc	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	currentSignedInPlayer(forContainer:)	GKCloudPlayer.currentSignedInPlayer(forContainer:)	class func currentSignedInPlayer(forContainer containerName: String?) async throws -> GKCloudPlayer
c:objc(cs)GKCloudPlayer(cm)getCurrentSignedInPlayerForContainer:completionHandler:	81ed367b2740b1bdff93b41de3cbbbff35c63777cdebd2a7842fcf3a7ce6a243	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	getCurrentSignedInPlayer(forContainer:completionHandler:)	GKCloudPlayer.getCurrentSignedInPlayer(forContainer:completionHandler:)	class func getCurrentSignedInPlayer(forContainer containerName: String?, completionHandler handler: @escaping (GKCloudPlayer?, (any Error)?) -> Void)
c:objc(cs)GKGameActivity(cm)checkPendingGameActivityExistenceWithCompletionHandler:	3817c0038c35e383128c9c0324f0eb4248f236fc496f7d1a52a3ba9076429d5c	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	checkPendingGameActivityExistence(completionHandler:)	GKGameActivity.checkPendingGameActivityExistence(completionHandler:)	class func checkPendingGameActivityExistence(completionHandler: @escaping (Bool) -> Void)
c:objc(cs)GKGameActivity(cm)checkPendingGameActivityExistenceWithCompletionHandler:	5f9044f2e709fbd0ced2a0c3cf862e036865d3e7842edacd43e27a48e999fd21	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.property	hasPendingGameActivities	GKGameActivity.hasPendingGameActivities	class var hasPendingGameActivities: Bool { get async }
c:objc(cs)GKGameActivity(im)findMatchWithCompletionHandler:	a5eaf83315b2cd5a11531a8db95292da9b95543d1ee649fb4047867c67f991c5	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	findMatch(completionHandler:)	GKGameActivity.findMatch(completionHandler:)	func findMatch(completionHandler: @escaping (GKMatch?, (any Error)?) -> Void)
c:objc(cs)GKGameActivity(im)findMatchWithCompletionHandler:	045d2ea978792e8135d3774feb2ed6a72e48a4f3bd5adbe2b65a271dbeab0cfc	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	findMatch()	GKGameActivity.findMatch()	func findMatch() async throws -> GKMatch
c:objc(cs)GKGameActivity(im)findPlayersForHostedMatchWithCompletionHandler:	b669f91d4d8712a7a8dd1eed4c90f78ecb62b11836c4168df6308753a5e7d29f	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	findPlayersForHostedMatch(completionHandler:)	GKGameActivity.findPlayersForHostedMatch(completionHandler:)	func findPlayersForHostedMatch(completionHandler: @escaping ([GKPlayer]?, (any Error)?) -> Void)
c:objc(cs)GKGameActivity(im)findPlayersForHostedMatchWithCompletionHandler:	d0a5659208645f32f1fdb04715e045bbe1576284b5fba755f907420272132ce6	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.method	findPlayersForHostedMatch()	GKGameActivity.findPlayersForHostedMatch()	func findPlayersForHostedMatch() async throws -> [GKPlayer]
c:objc(cs)GKGameActivityDefinition(cm)loadGameActivityDefinitionsWithCompletionHandler:	51646ba116e595a7dee074082c3a954d560551e5885a88827f24d60ac9414530	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	loadGameActivityDefinitions(completionHandler:)	GKGameActivityDefinition.loadGameActivityDefinitions(completionHandler:)	class func loadGameActivityDefinitions(completionHandler: @escaping ([GKGameActivityDefinition]?, (any Error)?) -> Void)
c:objc(cs)GKGameActivityDefinition(cm)loadGameActivityDefinitionsWithCompletionHandler:	a3b9b14b207130ad413017d1540d931b3f4f9dd3a70866a445a39a32c6cedce8	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.property	all	GKGameActivityDefinition.all	class var all: [GKGameActivityDefinition] { get async throws }
c:objc(cs)GKGameActivityDefinition(cm)loadGameActivityDefinitionsWithIDs:completionHandler:	e4b1bf2170cd881f815ac94f64d97c91293a5295b586fae0ed4c4871537f4b98	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.type.method	loadGameActivityDefinitions(IDs:)	GKGameActivityDefinition.loadGameActivityDefinitions(IDs:)	class func loadGameActivityDefinitions(IDs activityDefinitionIDs: [String]?) async throws -> [GKGameActivityDefinition]
c:objc(cs)GKGameActivityDefinition(cm)loadGameActivityDefinitionsWithIDs:completionHandler:	1f6ebf389c9c790d7859cb00bb1de8ebf20d64043739e5b36ae1341a1e056ec0	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.type.method	loadGameActivityDefinitions(IDs:completionHandler:)	GKGameActivityDefinition.loadGameActivityDefinitions(IDs:completionHandler:)	class func loadGameActivityDefinitions(IDs activityDefinitionIDs: [String]?, completionHandler: @escaping ([GKGameActivityDefinition]?, (any Error)?) -> Void)
c:objc(cs)GKGameActivityDefinition(im)loadAchievementDescriptionsWithCompletionHandler:	610ef947b4ae0bf47972ccd70dab47749f855a455637543b0a01f4fd01ae13ff	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	loadAchievementDescriptions(completionHandler:)	GKGameActivityDefinition.loadAchievementDescriptions(completionHandler:)	func loadAchievementDescriptions(completionHandler: @escaping ([GKAchievementDescription]?, (any Error)?) -> Void)
c:objc(cs)GKGameActivityDefinition(im)loadAchievementDescriptionsWithCompletionHandler:	79015589f089e296ff33aba89bfeb2c215a32b136bb2e09e6a76db7a0f580a79	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.property	achievementDescriptions	GKGameActivityDefinition.achievementDescriptions	var achievementDescriptions: [GKAchievementDescription] { get async throws }
c:objc(cs)GKGameActivityDefinition(im)loadImageWithCompletionHandler:	5642c281a02ef34cc3a7125a6f30041cf8d897575f4d934a2ccee8640a0d8529	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	loadImage(completionHandler:)	GKGameActivityDefinition.loadImage(completionHandler:)	func loadImage(completionHandler: @escaping (UIImage?, (any Error)?) -> Void)
c:objc(cs)GKGameActivityDefinition(im)loadImageWithCompletionHandler:	b50bd507b190422ad7b0acd776ad53eee972c58b7a549f4390410cd79fe41aaa	reference/symbol-graphs/GameKit.symbols.json	0	1	0	swift.property	image	GKGameActivityDefinition.image	var image: UIImage? { get async throws }
c:objc(cs)GKGameActivityDefinition(im)loadLeaderboardsWithCompletionHandler:	214bb4b30f60493f87369eeb97d3657def11a3c884100766b665b2789d8020c7	reference/symbol-graphs/GameKit.symbols.json	0	1	1	swift.method	loadLeaderboards(completionHandler:)	GKGameActivityDefinition.loadLeaderboards(completionHandler:)	func loadLeaderboards(completionHandler: @escaping ([GKLeaderboard]?, (any Error)?) -> Void)
