precise	kind	title	path	declaration
c:@kUTTypeCPlusPlusSource	swift.var	kUTTypeCPlusPlusSource	kUTTypeCPlusPlusSource	let kUTTypeCPlusPlusSource: CFString
c:@kUTTypeCSource	swift.var	kUTTypeCSource	kUTTypeCSource	let kUTTypeCSource: CFString
c:@kUTTypeCalendarEvent	swift.var	kUTTypeCalendarEvent	kUTTypeCalendarEvent	let kUTTypeCalendarEvent: CFString
c:@kUTTypeCommaSeparatedText	swift.var	kUTTypeCommaSeparatedText	kUTTypeCommaSeparatedText	let kUTTypeCommaSeparatedText: CFString
c:@kUTTypeCompositeContent	swift.var	kUTTypeCompositeContent	kUTTypeCompositeContent	let kUTTypeCompositeContent: CFString
c:@kUTTypeConformsToKey	swift.var	kUTTypeConformsToKey	kUTTypeConformsToKey	let kUTTypeConformsToKey: CFString
c:@kUTTypeContact	swift.var	kUTTypeContact	kUTTypeContact	let kUTTypeContact: CFString
c:@kUTTypeContent	swift.var	kUTTypeContent	kUTTypeContent	let kUTTypeContent: CFString
c:@kUTTypeData	swift.var	kUTTypeData	kUTTypeData	let kUTTypeData: CFString
c:@kUTTypeDatabase	swift.var	kUTTypeDatabase	kUTTypeDatabase	let kUTTypeDatabase: CFString
c:@kUTTypeDelimitedText	swift.var	kUTTypeDelimitedText	kUTTypeDelimitedText	let kUTTypeDelimitedText: CFString
c:@kUTTypeDescriptionKey	swift.var	kUTTypeDescriptionKey	kUTTypeDescriptionKey	let kUTTypeDescriptionKey: CFString
c:@kUTTypeDirectory	swift.var	kUTTypeDirectory	kUTTypeDirectory	let kUTTypeDirectory: CFString
c:@kUTTypeDiskImage	swift.var	kUTTypeDiskImage	kUTTypeDiskImage	let kUTTypeDiskImage: CFString
c:@kUTTypeElectronicPublication	swift.var	kUTTypeElectronicPublication	kUTTypeElectronicPublication	let kUTTypeElectronicPublication: CFString
c:@kUTTypeEmailMessage	swift.var	kUTTypeEmailMessage	kUTTypeEmailMessage	let kUTTypeEmailMessage: CFString
c:@kUTTypeExecutable	swift.var	kUTTypeExecutable	kUTTypeExecutable	let kUTTypeExecutable: CFString
c:@kUTTypeFileURL	swift.var	kUTTypeFileURL	kUTTypeFileURL	let kUTTypeFileURL: CFString
c:@kUTTypeFlatRTFD	swift.var	kUTTypeFlatRTFD	kUTTypeFlatRTFD	let kUTTypeFlatRTFD: CFString
c:@kUTTypeFolder	swift.var	kUTTypeFolder	kUTTypeFolder	let kUTTypeFolder: CFString
c:@kUTTypeFont	swift.var	kUTTypeFont	kUTTypeFont	let kUTTypeFont: CFString
c:@kUTTypeFramework	swift.var	kUTTypeFramework	kUTTypeFramework	let kUTTypeFramework: CFString
c:@kUTTypeGIF	swift.var	kUTTypeGIF	kUTTypeGIF	let kUTTypeGIF: CFString
c:@kUTTypeGNUZipArchive	swift.var	kUTTypeGNUZipArchive	kUTTypeGNUZipArchive	let kUTTypeGNUZipArchive: CFString
c:@kUTTypeHTML	swift.var	kUTTypeHTML	kUTTypeHTML	let kUTTypeHTML: CFString
c:@kUTTypeICO	swift.var	kUTTypeICO	kUTTypeICO	let kUTTypeICO: CFString
c:@kUTTypeIconFileKey	swift.var	kUTTypeIconFileKey	kUTTypeIconFileKey	let kUTTypeIconFileKey: CFString
c:@kUTTypeIdentifierKey	swift.var	kUTTypeIdentifierKey	kUTTypeIdentifierKey	let kUTTypeIdentifierKey: CFString
c:@kUTTypeImage	swift.var	kUTTypeImage	kUTTypeImage	let kUTTypeImage: CFString
c:@kUTTypeInkText	swift.var	kUTTypeInkText	kUTTypeInkText	let kUTTypeInkText: CFString
c:@kUTTypeInternetLocation	swift.var	kUTTypeInternetLocation	kUTTypeInternetLocation	let kUTTypeInternetLocation: CFString
c:@kUTTypeItem	swift.var	kUTTypeItem	kUTTypeItem	let kUTTypeItem: CFString
c:@kUTTypeJPEG	swift.var	kUTTypeJPEG	kUTTypeJPEG	let kUTTypeJPEG: CFString
c:@kUTTypeJPEG2000	swift.var	kUTTypeJPEG2000	kUTTypeJPEG2000	let kUTTypeJPEG2000: CFString
c:@kUTTypeJSON	swift.var	kUTTypeJSON	kUTTypeJSON	let kUTTypeJSON: CFString
c:@kUTTypeJavaArchive	swift.var	kUTTypeJavaArchive	kUTTypeJavaArchive	let kUTTypeJavaArchive: CFString
c:@kUTTypeJavaClass	swift.var	kUTTypeJavaClass	kUTTypeJavaClass	let kUTTypeJavaClass: CFString
c:@kUTTypeJavaScript	swift.var	kUTTypeJavaScript	kUTTypeJavaScript	let kUTTypeJavaScript: CFString
c:@kUTTypeJavaSource	swift.var	kUTTypeJavaSource	kUTTypeJavaSource	let kUTTypeJavaSource: CFString
c:@kUTTypeLivePhoto	swift.var	kUTTypeLivePhoto	kUTTypeLivePhoto	let kUTTypeLivePhoto: CFString
c:@kUTTypeLog	swift.var	kUTTypeLog	kUTTypeLog	let kUTTypeLog: CFString
c:@kUTTypeM3UPlaylist	swift.var	kUTTypeM3UPlaylist	kUTTypeM3UPlaylist	let kUTTypeM3UPlaylist: CFString
c:@kUTTypeMIDIAudio	swift.var	kUTTypeMIDIAudio	kUTTypeMIDIAudio	let kUTTypeMIDIAudio: CFString
c:@kUTTypeMP3	swift.var	kUTTypeMP3	kUTTypeMP3	let kUTTypeMP3: CFString
c:@kUTTypeMPEG	swift.var	kUTTypeMPEG	kUTTypeMPEG	let kUTTypeMPEG: CFString
c:@kUTTypeMPEG2TransportStream	swift.var	kUTTypeMPEG2TransportStream	kUTTypeMPEG2TransportStream	let kUTTypeMPEG2TransportStream: CFString
c:@kUTTypeMPEG2Video	swift.var	kUTTypeMPEG2Video	kUTTypeMPEG2Video	let kUTTypeMPEG2Video: CFString
c:@kUTTypeMPEG4	swift.var	kUTTypeMPEG4	kUTTypeMPEG4	let kUTTypeMPEG4: CFString
c:@kUTTypeMPEG4Audio	swift.var	kUTTypeMPEG4Audio	kUTTypeMPEG4Audio	let kUTTypeMPEG4Audio: CFString
c:@kUTTypeMessage	swift.var	kUTTypeMessage	kUTTypeMessage	let kUTTypeMessage: CFString
c:@kUTTypeMountPoint	swift.var	kUTTypeMountPoint	kUTTypeMountPoint	let kUTTypeMountPoint: CFString
c:@kUTTypeMovie	swift.var	kUTTypeMovie	kUTTypeMovie	let kUTTypeMovie: CFString
c:@kUTTypeOSAScript	swift.var	kUTTypeOSAScript	kUTTypeOSAScript	let kUTTypeOSAScript: CFString
c:@kUTTypeOSAScriptBundle	swift.var	kUTTypeOSAScriptBundle	kUTTypeOSAScriptBundle	let kUTTypeOSAScriptBundle: CFString
c:@kUTTypeObjectiveCPlusPlusSource	swift.var	kUTTypeObjectiveCPlusPlusSource	kUTTypeObjectiveCPlusPlusSource	let kUTTypeObjectiveCPlusPlusSource: CFString
c:@kUTTypeObjectiveCSource	swift.var	kUTTypeObjectiveCSource	kUTTypeObjectiveCSource	let kUTTypeObjectiveCSource: CFString
c:@kUTTypePDF	swift.var	kUTTypePDF	kUTTypePDF	let kUTTypePDF: CFString
c:@kUTTypePHPScript	swift.var	kUTTypePHPScript	kUTTypePHPScript	let kUTTypePHPScript: CFString
c:@kUTTypePICT	swift.var	kUTTypePICT	kUTTypePICT	let kUTTypePICT: CFString
c:@kUTTypePKCS12	swift.var	kUTTypePKCS12	kUTTypePKCS12	let kUTTypePKCS12: CFString
c:@kUTTypePNG	swift.var	kUTTypePNG	kUTTypePNG	let kUTTypePNG: CFString
c:@kUTTypePackage	swift.var	kUTTypePackage	kUTTypePackage	let kUTTypePackage: CFString
c:@kUTTypePerlScript	swift.var	kUTTypePerlScript	kUTTypePerlScript	let kUTTypePerlScript: CFString
