precise	graphKind	graphPath	status	basis	rawCandidateCount	compatibleCandidateCount	selectedNodePath	candidateNodePaths
c:objc(cs)HKActivityRingView	swift.class	["HKActivityRingView"]	import-name	exported-import-name	1	1	/ABIRoot/children/0	["/ABIRoot/children/0"]
c:objc(cs)HKActivityRingView(im)setActivitySummary:animated:	swift.method	["HKActivityRingView","setActivitySummary(_:animated:)"]	unmatched	none	0	0		[]
c:objc(cs)HKActivityRingView(py)activitySummary	swift.property	["HKActivityRingView","activitySummary"]	unmatched	none	0	0		[]
c:objc(cs)HKHealthStore(py)authorizationViewControllerPresenter	swift.property	["HKHealthStore","authorizationViewControllerPresenter"]	unmatched	none	0	0		[]
s:7SwiftUI4ViewP09HealthKitB0E23healthDataAccessRequest5store10objectType9predicate7trigger10completionQrSo13HKHealthStoreC_So08HKObjectL0CSo11NSPredicateCSgqd__ys6ResultOySbs5Error_pGctSQRd__lF	swift.method	["View","healthDataAccessRequest(store:objectType:predicate:trigger:completion:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/2	["/ABIRoot/children/10/children/2"]
s:7SwiftUI4ViewP09HealthKitB0E23healthDataAccessRequest5store10shareTypes04readL07trigger10completionQrSo13HKHealthStoreC_ShySo12HKSampleTypeCGShySo08HKObjectS0CGSgqd__ys6ResultOySbs5Error_pGctSQRd__lF	swift.method	["View","healthDataAccessRequest(store:shareTypes:readTypes:trigger:completion:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/0	["/ABIRoot/children/10/children/0"]
s:7SwiftUI4ViewP09HealthKitB0E23healthDataAccessRequest5store9readTypes7trigger10completionQrSo13HKHealthStoreC_ShySo12HKObjectTypeCGqd__ys6ResultOySbs5Error_pGctSQRd__lF	swift.method	["View","healthDataAccessRequest(store:readTypes:trigger:completion:)"]	exact-usr	exact-usr	1	1	/ABIRoot/children/10/children/1	["/ABIRoot/children/10/children/1"]
s:So24UISceneConnectionOptionsC11HealthKitUIE33shouldHandleActiveWorkoutRecoverySbvp	swift.property	["UIScene","ConnectionOptions","shouldHandleActiveWorkoutRecovery"]	exact-usr	exact-usr	1	1	/ABIRoot/children/11/children/0	["/ABIRoot/children/11/children/0"]
