precise	kind	title	path	declaration
s:8AlarmKit0A10AttributesV12ContentStatea	swift.typealias	AlarmAttributes.ContentState	AlarmAttributes.ContentState	typealias ContentState = AlarmPresentationState
s:8AlarmKit0A10AttributesV12presentation8metadata9tintColorACyxGAA0A12PresentationV_xSg7SwiftUI0G0Vtcfc	swift.init	init(presentation:metadata:tintColor:)	AlarmAttributes.init(presentation:metadata:tintColor:)	init(presentation: AlarmPresentation, metadata: Metadata? = nil, tintColor: Color)
s:8AlarmKit0A10AttributesV12presentationAA0A12PresentationVvp	swift.property	presentation	AlarmAttributes.presentation	var presentation: AlarmPresentation
s:8AlarmKit0A10AttributesV4fromACyxGs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmAttributes.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A10AttributesV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmAttributes.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A10AttributesV8metadataxSgvp	swift.property	metadata	AlarmAttributes.metadata	var metadata: Metadata?
s:8AlarmKit0A10AttributesV9tintColor7SwiftUI0E0Vvp	swift.property	tintColor	AlarmAttributes.tintColor	var tintColor: Color
s:8AlarmKit0A12PresentationV	swift.struct	AlarmPresentation	AlarmPresentation	struct AlarmPresentation
s:8AlarmKit0A12PresentationV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentation.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A12PresentationV5AlertV	swift.struct	AlarmPresentation.Alert	AlarmPresentation.Alert	struct Alert
s:8AlarmKit0A12PresentationV5AlertV10stopButtonAA0aF0Vvp	swift.property	stopButton	AlarmPresentation.Alert.stopButton	var stopButton: AlarmButton { get set }
s:8AlarmKit0A12PresentationV5AlertV15secondaryButtonAA0aF0VSgvp	swift.property	secondaryButton	AlarmPresentation.Alert.secondaryButton	var secondaryButton: AlarmButton?
