category	sdkRelativePath	size	sha256
tbd	System/Library/Frameworks/ColorSync.framework/ColorSync.tbd	12494	84f8dffbd2191f30624cff6dcd03f55e8eb1dc198ebb2259edff66f3c284fd82
header	System/Library/Frameworks/ColorSync.framework/Headers/ColorSync.h	528	ba1d7276dab3b4805a91202c24556e0daafead8e47fbd9b9db5dd03ac90f7e62
header	System/Library/Frameworks/ColorSync.framework/Headers/ColorSyncBase.h	3657	d418da3a809d658faa5aea587bfca11dac66e5e478e8aeb280d5d527ae2460d2
header	System/Library/Frameworks/ColorSync.framework/Headers/ColorSyncProfile.h	21240	8a8dc2cc009d92b696f7e33a383844762248d03b4f19a55372268d330faa400c
header	System/Library/Frameworks/ColorSync.framework/Headers/ColorSyncTransform.h	16614	1d062df2850baf3a7fbf090053e5639519e8bf39197089a0dde1805354320d96
modulemap	System/Library/Frameworks/ColorSync.framework/Modules/module.modulemap	118	9c7c68555a6fb7263a6e0a880e515516f0e42b7fc9da9c354773fa54829418c8
